date,race_no,race_name,pred_umaban,pred_horse,pred_odds,win_prob_top,prob_gap,win_profile,exotic_profile,skip_reason,model_ev,win_hit,place_hit,hypothetical_place_return_yen
20260102,9,LOS TRANQUILOS de JA(C2),5,ギャランドゥ,1.6,0.9336276356354778,0.8691403480392939,荒,荒,upset_profile,1.4938042170167645,TRUE,TRUE,110
20260604,9,C1一,1,ヴァラール,1.5,0.995288887679778,0.9924888988072004,荒,荒,upset_profile,1.492933331519667,FALSE,FALSE,0
20260603,10,カサブランカ賞B2,7,エポカリーナ,1.5,0.9943562817884286,0.9890911451783144,荒,荒,upset_profile,1.4915344226826428,FALSE,TRUE,100
20260102,10,楽天競馬で初夢賞B2,12,ワンダーブリング,1.4,0.9999697239382224,0.9999424698940532,荒,荒,upset_profile,1.3999576135135112,TRUE,TRUE,110
20260521,12,C2一,9,スプリガン,1.4,0.9999346367570922,0.999890962075082,荒,荒,upset_profile,1.399908491459929,FALSE,TRUE,110
20260107,5,パカやろう!睦月の蹄音ダッシュC2,4,ゴッドアマベル,1.4,0.9973944157965006,0.994806642063106,荒,荒,upset_profile,1.3963521821151008,TRUE,TRUE,120
20260611,5,仁位7ハロンC2二,7,チョッパスニー,1.4,0.9955092481142486,0.9932645388245273,荒,荒,upset_profile,1.3937129473599479,FALSE,TRUE,130
20260618,5,神影7ハロンC2二,1,ピエナフェリーチェ,1.4,0.9930290692246924,0.986701098609109,荒,荒,upset_profile,1.3902406969145693,FALSE,FALSE,0
20260331,6,C3一,12,ポム,1.3,0.9999774918236732,0.9999562480781348,荒,荒,upset_profile,1.2999707393707753,TRUE,TRUE,100
20260113,1,C3四,5,ピエスダルジャン,1.3,0.9997115091966255,0.9995279803842012,荒,荒,upset_profile,1.2996249619556133,TRUE,TRUE,140
20260430,12,C1,2,サルファー,1.3,0.9995111583297076,0.9990538093922982,荒,荒,upset_profile,1.2993645058286198,FALSE,FALSE,0
20260527,12,B2,1,ベラジオドリーム,1.3,0.9975933508184344,0.9960857161147618,荒,荒,upset_profile,1.2968713560639646,TRUE,TRUE,100
20260416,12,青馬ひすみビクトリーロード賞C1,10,フラッシュケリー,1.2,0.999952155835455,0.999925483172545,荒,荒,upset_profile,1.199942587002546,TRUE,TRUE,110
20260430,5,出水ダッシュC2二,3,ポム,1.2,0.9999348704842124,0.999885403521837,荒,荒,upset_profile,1.1999218445810549,TRUE,TRUE,110
20260618,12,青馬ひすみ☆モヤシか焼肉か杯C2一,7,クラウンハート,1.2,0.999913109181302,0.999872513363036,荒,荒,upset_profile,1.1998957310175624,FALSE,TRUE,110
20260505,11,兵庫優駿重賞,12,ゴッドフェンサー,1.2,0.999885179759486,0.9998095298950992,荒,荒,upset_profile,1.1998622157113832,TRUE,TRUE,100
20260527,9,C1,10,ジーティーエイト,1.2,0.999813651217022,0.9997270272000276,荒,荒,upset_profile,1.1997763814604263,TRUE,TRUE,100
20260612,1,3歳C2,12,サンミゲル,1.2,0.9997496821140464,0.9995725043754692,荒,荒,upset_profile,1.1996996185368556,FALSE,TRUE,100
20260612,9,C2,7,エナドライブ,1.2,0.999364167902022,0.9987421666382532,荒,荒,upset_profile,1.1992370014824263,TRUE,TRUE,100
20260318,5,知っとう? ひょうごの酪農のことC2二,11,アウセンザイター,1.2,0.9986065971539536,0.997275932386122,荒,荒,upset_profile,1.1983279165847442,TRUE,TRUE,120
20260103,1,C3二,3,クインズノヴァ,1.2,0.9847716172182932,0.9723822447685544,荒,荒,upset_profile,1.1817259406619518,TRUE,TRUE,100
20260414,5,波豆スプリントC2,12,ビクトリーブリッジ,1.1,0.99999202326255765,0.9999852381368176,荒,荒,upset_profile,1.0999912255888136,TRUE,TRUE,100
